date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-02-01,9455.92,9296.57,9342.23,14778.25,138614091.6,9384.45,direct,
2020-02-02,9469.84,9169.21,9384.45,24059.37,225322638.39,9334.25,direct,
2020-02-03,9605.66,9230.83,9334.25,33363.87,312315107.48,9288.96,direct,
2020-02-04,9347.12,9089.52,9288.96,26614.92,244997961.95,9171.98,direct,
2020-02-05,9750.28,9162.98,9171.98,47150.99,448381299.88,9611.42,direct,
2020-02-06,9853.08,9533.37,9611.42,42264.62,410313693.85,9755.84,direct,
2020-02-07,9866.18,9714.16,9755.84,25549.21,249852208.28,9808.36,direct,
2020-02-08,9936.26,9665.26,9808.36,24889.03,244352034.45,9898.25,direct,
2020-02-09,10162.71,9880.67,9898.25,33829.57,340301629.71,10157.78,direct,
2020-02-10,10185.09,9761.16,10157.78,40941.28,406256357.82,9858.03,direct,
2020-02-11,10370.44,9716.32,9858.03,49240.73,495614708.0,10269.43,direct,
2020-02-12,10475.43,10250.55,10269.43,43484.9,449510878.91,10347.93,direct,
2020-02-13,10500.54,10081.02,10347.93,49389.81,507955951.95,10233.32,direct,
2020-02-14,10387.37,10103.67,10233.32,28984.69,297409586.88,10360.37,direct,
2020-02-15,10388.6,9789.89,10360.37,29878.88,300819428.52,9905.43,direct,
2020-02-16,10042.6,9634.4,9905.43,27579.54,272176494.52,9925.51,direct,
2020-02-17,9958.46,9482.71,9925.51,37157.31,359702988.14,9702.48,direct,
2020-02-18,10274.35,9618.77,9702.48,38551.14,382869718.91,10182.6,direct,
2020-02-19,10300.04,9340.17,10182.6,47506.68,473100344.44,9602.43,direct,
2020-02-20,9698.59,9402.81,9602.43,36843.12,352949373.64,9608.8,direct,
2020-02-21,9766.16,9582.07,9608.8,30286.18,293546157.49,9697.86,direct,
2020-02-22,9720.21,9577.84,9697.86,12206.36,118171544.81,9671.46,direct,
2020-02-23,10011.4,9669.88,9671.46,23058.71,228093371.59,9977.39,direct,
2020-02-24,10019.3,9495.76,9977.39,34044.18,331102536.15,9664.21,direct,
2020-02-25,9682.05,9258.4,9664.21,34827.75,329372824.71,9316.18,direct,
2020-02-26,9379.07,8652.97,9316.18,65447.95,588359496.49,8793.5,direct,
2020-02-27,8978.84,8540.74,8793.5,47005.39,413657559.37,8821.5,direct,
2020-02-28,8908.8,8449.12,8821.5,41600.5,360795192.37,8719.29,direct,
2020-02-29,8815.63,8545.32,8719.29,16806.37,146455562.43,8545.45,direct,
2020-03-01,8776.71,8443.57,8545.45,25550.31,219324311.08,8549.38,direct,
2020-03-02,8983.78,8521.79,8549.38,33004.6,290280969.41,8919.74,direct,
2020-03-03,8940.69,8680.57,8919.74,28648.83,252211805.89,8765.68,direct,
2020-03-04,8863.91,8690.82,8765.68,22115.34,194233894.05,8773.78,direct,
2020-03-05,9179.74,8772.83,8773.78,33760.74,305196274.33,9074.82,direct,
2020-03-06,9183.26,9015.35,9074.82,21090.1,192168163.64,9160.39,direct,
2020-03-07,9225.42,8880.33,9160.39,20669.17,187063951.77,8903.72,direct,
2020-03-08,8920.28,8033.06,8903.72,63231.33,533371350.28,8057.67,direct,
2020-03-09,8200.82,7664.34,8057.67,86700.45,682781069.24,7944.4,direct,
2020-03-10,8165.09,7758.12,7944.4,53646.28,427332546.47,7894.66,direct,
2020-03-11,7998.79,7614.48,7894.66,47596.23,372704355.27,7945.36,direct,
2020-03-12,7984.16,4736.21,7945.36,286243.45,1769476928.68,4916.78,direct,
2020-03-13,5984.55,3948.92,4916.78,319316.54,1663092005.9,5632.58,direct,
2020-03-14,5665.57,5069.29,5632.58,87978.27,474539626.45,5181.77,direct,
2020-03-15,5961.78,5114.06,5181.77,105160.64,568696762.62,5357.02,direct,
2020-03-16,5364.93,4454.22,5357.02,203116.86,996661883.31,5045.0,direct,
2020-03-17,5561.43,4950.9,5045.0,116314.49,618671971.75,5337.66,direct,
2020-03-18,5451.02,5024.71,5337.66,109210.96,576456805.62,5413.06,direct,
2020-03-19,6418.99,5268.33,5413.06,147007.71,868668216.67,6184.88,direct,
2020-03-20,6932.04,5691.69,6184.88,148232.44,947038097.64,6206.44,direct,
2020-03-21,6459.65,5876.79,6206.44,67262.29,415771088.67,6195.43,direct,
2020-03-22,6415.14,5750.68,6195.43,75451.24,457211401.95,5828.15,direct,
2020-03-23,6614.56,5703.64,5828.15,107692.99,667919370.22,6503.53,direct,
2020-03-24,6857.49,6406.64,6503.53,105151.69,700444488.16,6767.18,direct,
2020-03-25,6980.29,6483.0,6767.18,84721.04,566264216.07,6694.21,direct,
2020-03-26,6796.12,6539.61,6694.21,45203.7,302121295.09,6757.95,direct,
2020-03-27,6876.97,6312.53,6757.95,57134.12,381303011.52,6382.8,direct,
2020-03-28,6384.56,6051.23,6382.8,60814.06,378476570.98,6252.49,direct,
2020-03-29,6286.96,5882.2,6252.49,47232.21,286789900.17,5882.2,direct,
2020-03-30,6616.94,5874.8,5882.2,70623.69,445848282.11,6403.31,direct,
2020-03-31,6531.66,6350.61,6403.31,36169.65,233613490.19,6423.61,direct,
2020-04-01,6716.04,6168.0,6423.61,59228.61,377164250.74,6663.63,direct,
2020-04-02,7245.15,6585.75,6663.63,93059.32,635319847.54,6804.42,direct,
2020-04-03,7044.01,6618.82,6804.42,55578.32,379639119.54,6743.68,direct,
2020-04-04,7010.45,6671.05,6743.68,33774.99,230044243.33,6875.95,direct,
2020-04-05,6910.39,6689.07,6875.95,26776.41,182019861.58,6781.64,direct,
2020-04-06,7359.05,6779.91,6781.64,78676.82,560075869.57,7347.22,direct,
2020-04-07,7462.51,7084.52,7347.22,70648.16,516422836.71,7201.57,direct,
2020-04-08,7425.85,7157.96,7201.57,60952.77,445330043.76,7367.37,direct,
2020-04-09,7374.01,7124.88,7367.37,44071.93,321287689.9,7294.55,direct,
2020-04-10,7304.8,6757.67,7294.55,63355.47,440132415.16,6876.49,direct,
2020-04-11,6956.27,6785.52,6876.49,24917.32,171352839.69,6887.6,direct,
2020-04-12,7199.97,6802.16,6887.6,42382.58,297514761.29,6913.76,direct,
2020-04-13,6913.76,6612.34,6913.76,63091.4,426458894.19,6859.43,direct,
2020-04-14,6986.75,6773.97,6859.43,44630.96,307409556.74,6879.44,direct,
2020-04-15,6937.49,6614.79,6879.44,49708.81,336722796.75,6629.54,direct,
2020-04-16,7207.11,6487.08,6629.54,98809.08,685621725.46,7114.55,direct,
2020-04-17,7155.17,7005.79,7114.55,45840.75,324325510.78,7037.12,direct,
2020-04-18,7304.35,7028.43,7037.12,35919.74,258251102.86,7264.29,direct,
2020-04-19,7276.84,7072.33,7264.29,29493.83,211422409.66,7132.88,direct,
2020-04-20,7225.23,6770.07,7132.88,64707.0,452319848.99,6842.45,direct,
2020-04-21,6948.78,6779.51,6842.45,44531.91,305844254.34,6855.11,direct,
2020-04-22,7165.43,6831.44,6855.11,43780.72,308254465.67,7135.41,direct,
2020-04-23,7731.56,7041.2,7135.41,81106.87,599195847.97,7489.25,direct,
2020-04-24,7607.28,7408.35,7489.25,51734.5,389027134.45,7509.44,direct,
2020-04-25,7708.4,7445.98,7509.44,30165.48,227962632.37,7546.92,direct,
2020-04-26,7705.3,7497.88,7546.92,33092.14,251857766.26,7701.35,direct,
2020-04-27,7790.33,7639.98,7701.35,48551.15,374439201.77,7787.41,direct,
2020-04-28,7791.85,7671.26,7787.41,38507.32,297442241.62,7760.32,direct,
2020-04-29,8952.44,7733.02,7760.32,157978.19,1324299206.24,8784.96,direct,
2020-04-30,9460.77,8416.64,8784.96,161267.28,1439132256.65,8637.56,direct,
